id,category,prompt,response,tags
debug_prompt_001,Debugging,Debugging prompt example 1: Can you explain why this Python code throws an error?,Response for debugging prompt example 1.,"['debugging', 'Python', 'example']"
debug_prompt_002,Debugging,Debugging prompt example 2: Can you explain why this Python code throws an error?,Response for debugging prompt example 2.,"['debugging', 'Python', 'example']"
debug_prompt_003,Debugging,Debugging prompt example 3: Can you explain why this Python code throws an error?,Response for debugging prompt example 3.,"['debugging', 'Python', 'example']"
debug_prompt_004,Debugging,Debugging prompt example 4: Can you explain why this Python code throws an error?,Response for debugging prompt example 4.,"['debugging', 'Python', 'example']"
debug_prompt_005,Debugging,Debugging prompt example 5: Can you explain why this Python code throws an error?,Response for debugging prompt example 5.,"['debugging', 'Python', 'example']"
debug_prompt_006,Debugging,Debugging prompt example 6: Can you explain why this Python code throws an error?,Response for debugging prompt example 6.,"['debugging', 'Python', 'example']"
debug_prompt_007,Debugging,Debugging prompt example 7: Can you explain why this Python code throws an error?,Response for debugging prompt example 7.,"['debugging', 'Python', 'example']"
debug_prompt_008,Debugging,Debugging prompt example 8: Can you explain why this Python code throws an error?,Response for debugging prompt example 8.,"['debugging', 'Python', 'example']"
debug_prompt_009,Debugging,Debugging prompt example 9: Can you explain why this Python code throws an error?,Response for debugging prompt example 9.,"['debugging', 'Python', 'example']"
debug_prompt_010,Debugging,Debugging prompt example 10: Can you explain why this Python code throws an error?,Response for debugging prompt example 10.,"['debugging', 'Python', 'example']"
debug_prompt_011,Debugging,Debugging prompt example 11: Can you explain why this Python code throws an error?,Response for debugging prompt example 11.,"['debugging', 'Python', 'example']"
debug_prompt_012,Debugging,Debugging prompt example 12: Can you explain why this Python code throws an error?,Response for debugging prompt example 12.,"['debugging', 'Python', 'example']"
debug_prompt_013,Debugging,Debugging prompt example 13: Can you explain why this Python code throws an error?,Response for debugging prompt example 13.,"['debugging', 'Python', 'example']"
debug_prompt_014,Debugging,Debugging prompt example 14: Can you explain why this Python code throws an error?,Response for debugging prompt example 14.,"['debugging', 'Python', 'example']"
debug_prompt_015,Debugging,Debugging prompt example 15: Can you explain why this Python code throws an error?,Response for debugging prompt example 15.,"['debugging', 'Python', 'example']"
debug_prompt_016,Debugging,Debugging prompt example 16: Can you explain why this Python code throws an error?,Response for debugging prompt example 16.,"['debugging', 'Python', 'example']"
debug_prompt_017,Debugging,Debugging prompt example 17: Can you explain why this Python code throws an error?,Response for debugging prompt example 17.,"['debugging', 'Python', 'example']"
debug_prompt_018,Debugging,Debugging prompt example 18: Can you explain why this Python code throws an error?,Response for debugging prompt example 18.,"['debugging', 'Python', 'example']"
debug_prompt_019,Debugging,Debugging prompt example 19: Can you explain why this Python code throws an error?,Response for debugging prompt example 19.,"['debugging', 'Python', 'example']"
debug_prompt_020,Debugging,Debugging prompt example 20: Can you explain why this Python code throws an error?,Response for debugging prompt example 20.,"['debugging', 'Python', 'example']"
debug_prompt_021,Debugging,Debugging prompt example 21: Can you explain why this Python code throws an error?,Response for debugging prompt example 21.,"['debugging', 'Python', 'example']"
debug_prompt_022,Debugging,Debugging prompt example 22: Can you explain why this Python code throws an error?,Response for debugging prompt example 22.,"['debugging', 'Python', 'example']"
debug_prompt_023,Debugging,Debugging prompt example 23: Can you explain why this Python code throws an error?,Response for debugging prompt example 23.,"['debugging', 'Python', 'example']"
debug_prompt_024,Debugging,Debugging prompt example 24: Can you explain why this Python code throws an error?,Response for debugging prompt example 24.,"['debugging', 'Python', 'example']"
debug_prompt_025,Debugging,Debugging prompt example 25: Can you explain why this Python code throws an error?,Response for debugging prompt example 25.,"['debugging', 'Python', 'example']"
unit_test_001,Unit Testing,Unit testing prompt example 1: Write a Pytest test for this Python function.,Response for unit testing prompt example 1.,"['unit_testing', 'Python', 'pytest']"
unit_test_002,Unit Testing,Unit testing prompt example 2: Write a Pytest test for this Python function.,Response for unit testing prompt example 2.,"['unit_testing', 'Python', 'pytest']"
unit_test_003,Unit Testing,Unit testing prompt example 3: Write a Pytest test for this Python function.,Response for unit testing prompt example 3.,"['unit_testing', 'Python', 'pytest']"
unit_test_004,Unit Testing,Unit testing prompt example 4: Write a Pytest test for this Python function.,Response for unit testing prompt example 4.,"['unit_testing', 'Python', 'pytest']"
unit_test_005,Unit Testing,Unit testing prompt example 5: Write a Pytest test for this Python function.,Response for unit testing prompt example 5.,"['unit_testing', 'Python', 'pytest']"
unit_test_006,Unit Testing,Unit testing prompt example 6: Write a Pytest test for this Python function.,Response for unit testing prompt example 6.,"['unit_testing', 'Python', 'pytest']"
unit_test_007,Unit Testing,Unit testing prompt example 7: Write a Pytest test for this Python function.,Response for unit testing prompt example 7.,"['unit_testing', 'Python', 'pytest']"
unit_test_008,Unit Testing,Unit testing prompt example 8: Write a Pytest test for this Python function.,Response for unit testing prompt example 8.,"['unit_testing', 'Python', 'pytest']"
unit_test_009,Unit Testing,Unit testing prompt example 9: Write a Pytest test for this Python function.,Response for unit testing prompt example 9.,"['unit_testing', 'Python', 'pytest']"
unit_test_010,Unit Testing,Unit testing prompt example 10: Write a Pytest test for this Python function.,Response for unit testing prompt example 10.,"['unit_testing', 'Python', 'pytest']"
unit_test_011,Unit Testing,Unit testing prompt example 11: Write a Pytest test for this Python function.,Response for unit testing prompt example 11.,"['unit_testing', 'Python', 'pytest']"
unit_test_012,Unit Testing,Unit testing prompt example 12: Write a Pytest test for this Python function.,Response for unit testing prompt example 12.,"['unit_testing', 'Python', 'pytest']"
unit_test_013,Unit Testing,Unit testing prompt example 13: Write a Pytest test for this Python function.,Response for unit testing prompt example 13.,"['unit_testing', 'Python', 'pytest']"
unit_test_014,Unit Testing,Unit testing prompt example 14: Write a Pytest test for this Python function.,Response for unit testing prompt example 14.,"['unit_testing', 'Python', 'pytest']"
unit_test_015,Unit Testing,Unit testing prompt example 15: Write a Pytest test for this Python function.,Response for unit testing prompt example 15.,"['unit_testing', 'Python', 'pytest']"
unit_test_016,Unit Testing,Unit testing prompt example 16: Write a Pytest test for this Python function.,Response for unit testing prompt example 16.,"['unit_testing', 'Python', 'pytest']"
unit_test_017,Unit Testing,Unit testing prompt example 17: Write a Pytest test for this Python function.,Response for unit testing prompt example 17.,"['unit_testing', 'Python', 'pytest']"
unit_test_018,Unit Testing,Unit testing prompt example 18: Write a Pytest test for this Python function.,Response for unit testing prompt example 18.,"['unit_testing', 'Python', 'pytest']"
unit_test_019,Unit Testing,Unit testing prompt example 19: Write a Pytest test for this Python function.,Response for unit testing prompt example 19.,"['unit_testing', 'Python', 'pytest']"
unit_test_020,Unit Testing,Unit testing prompt example 20: Write a Pytest test for this Python function.,Response for unit testing prompt example 20.,"['unit_testing', 'Python', 'pytest']"
unit_test_021,Unit Testing,Unit testing prompt example 21: Write a Pytest test for this Python function.,Response for unit testing prompt example 21.,"['unit_testing', 'Python', 'pytest']"
unit_test_022,Unit Testing,Unit testing prompt example 22: Write a Pytest test for this Python function.,Response for unit testing prompt example 22.,"['unit_testing', 'Python', 'pytest']"
unit_test_023,Unit Testing,Unit testing prompt example 23: Write a Pytest test for this Python function.,Response for unit testing prompt example 23.,"['unit_testing', 'Python', 'pytest']"
unit_test_024,Unit Testing,Unit testing prompt example 24: Write a Pytest test for this Python function.,Response for unit testing prompt example 24.,"['unit_testing', 'Python', 'pytest']"
unit_test_025,Unit Testing,Unit testing prompt example 25: Write a Pytest test for this Python function.,Response for unit testing prompt example 25.,"['unit_testing', 'Python', 'pytest']"
app_project_001,Application Project Creation,Project prompt example 1: Create a simple application in Replit that performs task X.,Response for application project prompt example 1.,"['application_project', 'Replit', 'example']"
app_project_002,Application Project Creation,Project prompt example 2: Create a simple application in Replit that performs task X.,Response for application project prompt example 2.,"['application_project', 'Replit', 'example']"
app_project_003,Application Project Creation,Project prompt example 3: Create a simple application in Replit that performs task X.,Response for application project prompt example 3.,"['application_project', 'Replit', 'example']"
app_project_004,Application Project Creation,Project prompt example 4: Create a simple application in Replit that performs task X.,Response for application project prompt example 4.,"['application_project', 'Replit', 'example']"
app_project_005,Application Project Creation,Project prompt example 5: Create a simple application in Replit that performs task X.,Response for application project prompt example 5.,"['application_project', 'Replit', 'example']"
